CONTRIBUTION ADDRESS,STABLES CONTRIBUTION,KSM PURCHASE PRICE,KSM EQUIVALENT,USD returned at KSM price $33.32 ,TokenSymbol
0x54a6c8f1b61b767a0bfafe8be302682af632f9b5,10,422.95,0.02364345667,0.788,USDC
0x0739bf8e3fdd8540dc5bb95f32d56b406e0c3e8e,250.82,422.95,0.5930221114,19.759,USDT
0x935914ad4a126647af35378384d70c741892a5fa,"7,747.64",422.95,18.31809369,610.359,USDC
0xa9cdf0542a1128c5caca1e81521a09aec8abe1a7,"10,000",422.95,23.64345667,787.800,DAI
0xfa7195ed3f14e375cf1d6649d1356c61a6dd70d5,"4,500",422.95,10.6395555,354.510,USDT
0xd455712e43582134f101a0c686d26548b5438a3b,"10,000",422.95,23.64345667,787.800,USDC
0x8d452c1f4bae385b13933c83ecff70d74229915f,"17,710.74",422.95,41.87432054,"1,395.252",USDC
0x6a82540ac63046d2f21a159c00d84b84d22bd2b6,"10,000",422.95,23.64345667,787.800,USDC
0xc7dbcc064d3284a9320f074617443508b60263cf,"4,256.58",422.95,10.06403085,335.334,DAI
0x56b61aade43b93cc81746acb105812e8e29d90e4,100,422.95,0.2364345667,7.878,USDC
0x04c4c25b28f504521b0adf53195ed8e86424ee8b,"24,245.90",422.95,57.32567786,"1,910.092",USDC
0x690a5e2dd1189d03f7f4b8fa64a15863be89b58d,"25,749.83",422.95,60.8814893,"2,028.571",USDT
0x0d60977a04b2a88e33df83f577316c9308a3e5ac,125,422.95,0.2955432084,9.847,USDT
0x6a85bf836a4a87ace31aa18d04761287555a178e,"26,000",422.95,61.47298735,"2,048.280",USDT
0x655f436c8e140a956ef2cae336e9151721718ad8,"25,000",422.95,59.10864168,"1,969.500",USDT
0xacc4c1ea473a576a52483aa72327340587d51925,"34,000",422.95,80.38775269,"2,678.520",USDC
0x2a123b4d2a86f71cf5ce5a4b12ad8ef7bb1ecf3d,"10,000",422.95,23.64345667,787.800,USDC
0x4553ed5d8d3731e629f67bd86abd021175f31848,"20,000",422.95,47.28691335,"1,575.600",USDC
0x01cd6fee9da9d3a544f3cf96e5bb73fe6b3f8f5a,"2,000",422.95,4.728691335,157.560,USDC
0xe7cafd2364754316b27dd54e66f1d6217843f100,"15,362.81",422.95,36.32298695,"1,210.282",USDT
0xe7cafd2364754316b27dd54e66f1d6217843f100,"23,394.75",422.95,55.31326832,"1,843.038",USDT
0xe92d80a90bc050a12f1c6fbe0e50e1b5a874b595,"10,000",422.95,23.64345667,787.800,USDC
0x01cd6fee9da9d3a544f3cf96e5bb73fe6b3f8f5a,"8,000",422.95,18.91476534,630.240,USDC
0xee0b0271918ba62b939437af831efc689365112b,500,422.95,1.182172834,39.390,USDC
0x5c9bfe30740263dfaef1224fe0fc80ed38c3fae2,673.874724,422.95,1.593272784,53.088,USDT
0x6d9a4667e14783282517d0e3ebecf29da808c6de,"30,000",422.95,70.93037002,"2,363.400",USDC
0x741b875253299a60942e1e7512a79bbbf9a747d7,292,422.95,0.6911035087,23.028,USDC
0x4a895764934ca19652d29630e6da7601a7efbe24,"33,301.81",422.95,78.73698629,"2,623.516",USDC
0x3a5adf48e9397b7289f35fc4db6676cf1bd1ff1d,494,422.95,1.16798676,38.917,USDT
0x37a16c68736dd9e245707fc68add79ccf2d3d9f9,"1,240",422.95,2.931788627,97.687,USDC
0x8091587f4dd6019196e89fe82a5ee40400fa8bf9,874.530442,422.95,2.067692261,68.896,USDC
0xddfbaf93ed5056ff616f6b56c56f901eda4b8bed,500,422.95,1.182172834,39.390,USDC
0xcb98b2c2c22fcacd12ebf92676172616bb37d43f,10.00,422.95,0.02364345667,0.788,USDC
0x1aa8d27c4ecc7e27f5527ef8d4fa112498789ba6,20.00,422.95,0.04728691335,1.576,USDC
0x6221b8772e58e7b114d7b8e4ee400bfa8bf57986,"50,000",422.95,118.2172834,"3,939.000",USDC
0xd56ee5ba5a52e15f309108bdd6247c69b4f624c2,"1,095.16",422.95,2.589336801,86.277,DAI
0xc784aa191b4562d4ae860b851461d7fac80acf33,400,422.95,0.9457382669,31.512,DAI
0x291e4ebb46c04d87c2fb10582b20e9258a1a83f8,"4,985",422.95,11.78626315,392.718,USDC
0xef456ba3b950bd29305e243ee0c2b368339fa3ab,"5,035.97",422.95,11.90676826,396.734,USDT
0x72f56f903ff4ebdf8e16977679649ef9e60a9598,293,422.95,0.6927532805,23.083,DAI
0x479d4678258ef00be5c5653e676418124e0dd065,"1,503.29",422.95,3.554290282,118.429,DAI
0xda566a55005d0fea14fec7c129cc32c1203cd51f,100.00,422.95,0.2364345667,7.878,USDC
0xe62229174b79e20209a964cd0552b99cb3e679b3,"9,774",422.95,23.10911455,769.996,USDT
0x0f8c20740d31d99484e625c8b5ea7bb5d18b122f,"1,042.77",422.95,2.465478832,82.150,USDT
0x1c051112075feaee33bcdbe0984c2bb0db53cf47,"300,000",422.95,709.3037002,"23,633.999",USDC
0xf681e0c98e54943d4dfa634fdadc17ed8a0e73dd,"2,000",422.95,4.728691335,157.560,USDC
0x96e3e323966713a1f56dbb5d5bfabb28b2e4b428,"5,000",418.72,11.94115399,397.879,USDT
0xe1a16274d48bfded0db57ff6534caa270ff1f637,20,418.72,0.04776461597,1.592,USDT
0xabca2289f0d03773e8b102248997e854aa36cd21,"4,109.73",418.72,9.814983471,327.035,USDC
0x65685914465e7f6e70624b8bbd1c66be0411923e,0,418.72,0.0007992835308,0.027,USDT
0x4a4b9a1553dadb071fe6a53bfe909ec08cb6ce35,178,418.72,0.4259760628,14.194,USDT
0x2d0cedaab10b02786d18023a07af0861fc2b079f,391.4477353,418.72,0.9348675375,31.150,DAI
0x2d0cedaab10b02786d18023a07af0861fc2b079f,323.738049,418.72,0.7731611793,25.762,USDT
0x6221b8772e58e7b114d7b8e4ee400bfa8bf57986,"50,000",418.72,119.4115399,"3,978.793",USDT
0x33da9340402a97398d3c47b04031eac169674419,"6,000",418.72,14.32938479,477.455,USDT
0xc6db1db370fb85b72610947e536c3e7599b42e72,"250,000",418.72,597.0576997,"19,893.963",USDC
0x54b55662901af57b31fb6b52af8175b652a5816e,"250,000",418.72,597.0576997,"19,893.963",USDC
0xa25a1e84befc5ff5ec562af1409dc8994e91eda7,147,418.72,0.3510983879,11.699,USDC
0xbe3a04a2683073422ea8db63011e70166f32438e,400,418.72,0.9552923194,31.830,USDC
0xcf304823d4d0d8822648a66adbf67bc57f6dd350,"7,193.59",418.72,17.17995423,572.436,USDC
0x75c6a16c453fb81a7c4e8721e3541934867b451c,"23,049.47",418.72,55.04746536,"1,834.182",USDC
0x115143bd6eb248bb9dee04bb96aed0637f7b5990,112,418.72,0.2674818494,8.912,USDT
0xb212f44df6970f25d80e1b91b7bf3e8a9ae93c2d,"12,023",418.72,28.71369889,956.740,USDC
0xb212f44df6970f25d80e1b91b7bf3e8a9ae93c2d,"10,000",418.72,23.88230799,795.759,USDC
0x97b102e00d88f02debfd6b1e4b901dd6931bb982,500,403.3,1.239771882,41.309,USDC
0xa4fdc2103b412cc142bd7715dabab06f08ef842b,"100,000",403.3,247.9543764,"8,261.840",USDC
0x672ad3627e357d3fd06472c316f6075f0dcae553,"9,980.45",403.3,24.74697292,824.569,USDT
0x542f5de6a607621fa3cf3083a445a249007ecf8e,"1,000",403.3,2.479543764,82.618,USDC
0x4f3936c02c5be0112747cc19311b5074bbed8475,467.865682,403.3,1.160093434,38.654,USDT
0x23b85204dfda7477371998727109fd89dcd3fcf1,"10,000",403.3,24.79543764,826.184,USDC
0x8e2160a024ca85810e5bafba77ea332800c2b231,"4,293.79",403.3,10.64664454,354.746,USDC
0x3afd89fa00827c5195265d537a5a29172cee5b3a,"1,750",403.3,4.339201587,144.582,USDT
0x7421698e7e607d399e5a5d7a727886d39a6432f3,"1,000",403.3,2.479543764,82.618,USDT
0x354029b0d5c417fed5f22522d3a1325b5397df8e,500,403.3,1.239771882,41.309,USDT
0xbbddd093d7c303eabedd9efc81d1c70f28dd17e8,"1,243,376.74",403.3,3083.007037,"102,725.794",USDC
0xe89798bf02929545eeeb4e26d2aa49b2decb894f,500,403.3,1.239771882,41.309,USDC
0xa911ccf5f6c7bd5fb25188d41a536890c3c8fae5,"10,000",336.24,29.74066143,990.959,USDC
0xbbddd093d7c303eabedd9efc81d1c70f28dd17e8,"270,549",336.24,804.630621,"26,810.292",USDC
0xe6c58978d013b757eb315bd6fd776bee2ee2b63c,"3,978",336.24,11.83083512,394.203,USDC
0x3247da930721fadf467dcfaa2e211fa309381371,275,336.24,0.8178681894,27.251,USDC
0x2549bb64f069a4c1f02e80a6707486b689f8faab,342.999497,336.24,1.020103191,33.990,USDT
0xcb114805b901f7a9c38d5675272ef26459a7d805,"10,000",336.24,29.74066143,990.959,USDC
0x2221ceace30dbae7e209888452d29e711cb5741d,421.70,336.24,1.254150678,41.788,USDC
0x2cb644a9299f95f427a6a32b9b8f37b0d6720043,"1,000",336.24,2.974066143,99.096,USDC
0xf84cc4ed45f00c98e1739fd31f7533cafc249544,"1,000",336.24,2.974066143,99.096,USDC
0x9349c8c39dd1d5a6271861ce6f9974b2b76142bc,970.42,336.24,2.886093267,96.165,USDC
0xeeff483b297016938400575043752a2d10d7579a,"30,000",336.24,89.2219843,"2,972.877",USDT
0x679b4172e1698579d562d1d8b4774968305b80b2,100.00,336.24,0.2974066143,9.910,USDC
0x951b6d50d07c39b0f97a7bb2f5c1e96f07a093d3,"10,000",336.24,29.74066143,990.959,USDC
0x2221ceace30dbae7e209888452d29e711cb5741d,"2,000",336.24,5.948132286,198.192,USDC
0x461e76a4fe9f27605d4097a646837c32f1ccc31c,"79,733.66",336.24,237.1331702,"7,901.277",USDC
0x11ea74a088d280c77147f78c54c05e372c8d1653,110,336.24,0.3271472758,10.901,USDC
0xb27226ce5f123f91514ae3955e5cfeb7b9754981,"1,000",336.24,2.974066143,99.096,USDC
0xcf63e1c31805254b6fb3ed7829206c2b2505e3a7,"30,000",336.24,89.2219843,"2,972.877",USDC
0x98dc82470cd96449eff7a21837644e8a0b83f40e,"8,702.15",336.24,25.88077016,862.347,USDC
0x3fd1ddf28f604cfe5fefa3adc38e38be2f7208d6,"60,262.66",336.24,179.2251428,"5,971.782",USDC
0x428700e86c104f4ee8139a69ecdca09e843f6297,"2,000",336.24,5.948132286,198.192,USDC
0x55aea4cd456478d56f598e06a0db228192d5eb84,"1,000",336.24,2.974066143,99.096,USDC
0x07deef8ad7d095b45de4a2b39ca7d9f8aa7d4022,10.00,336.24,0.02974008446,0.991,USDC
0x5e7ec7c027092fdf2ce384dd217c37f434f78a57,203,336.24,0.6046552068,20.147,DAI
0x289c23cd7cacafd4bfee6344ef376fa14f1bf42d,"5,000",336.24,14.87033072,495.479,USDC
0x467ba5774af9b509af745a0870fcfabb34acfcc8,201.72,336.24,0.5999284916,19.990,USDC
0x2549bb64f069a4c1f02e80a6707486b689f8faab,228.06,336.24,0.6782785689,22.600,USDT
0x7ae02e3871f38d0ba4a5192d97621ba52083fd06,"2,000",336.24,5.948132286,198.192,USDT
0xf3f49dd68586335ee3b01a86368043508c962c2a,7,336.24,0.01968039198,0.656,USDC
0x453721d8f20513944a0edc7230ec2709552f7e17,367.67,336.24,1.093464594,36.434,USDT
0x4dace5a18a8c9d4d5f0a01269df49e3cc2b52750,215,336.24,0.6394242208,21.306,USDC
0xb79786b11fa27df856ba58fb9f8f2cfa2f790522,400.00,336.24,1.189626457,39.638,DAI
0x22d7d38717474569ea63cbda595f4bbc0f1b640d,749,336.24,2.227674646,74.226,USDC
0x825c6a3983fef62030693e6ee90267747bcfbd8c,10,336.24,0.02974066143,0.991,DAI
0x0dec50b958d51fa29df7767e7298be834a897135,100,336.24,0.2974066143,9.910,USDC
0x42edc9e6a511bcc25503e1eff7ca77b635fb39ba,994.92079,336.24,2.958960237,98.593,USDC
0x07a1f6fc89223c5ebd4e4ddae89ac97629856a0f,"19,488.97",336.24,57.96149185,"1,931.277",USDC
0x8d5f05270da470e015b67ab5042bdbe2d2fefb48,197,336.24,0.5865168243,19.543,USDC
0xae7ae37d9d97abc1099995036f17701fd55cefe5,"1,958.86",336.24,5.825785667,194.115,DAI
0x2ff0ad27418a9d211cad22e0c11a1255abb5b3aa,10,338.64,0.02952988424,0.984,USDC
0xcbe33f591c334507b698de21e9b6eecb1b73e7ec,"10,000",338.64,29.52988424,983.936,USDC
0xb7d9945166e3da89ee4c0947230753d656d116a5,"1,000",338.64,2.952988424,98.394,USDC
0x70e29afdccdd6012e4785f60168e46a68f4b1a42,582.2109912,338.64,1.719262317,57.286,DAI
0x52d597334a853cfc0e5afde7e813ae5a7e965176,10,338.64,0.02952988424,0.984,USDC
